-BEGIN HEADER-,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,
Dates (month/day/year): 01/01/2019 through 12/31/2023 ,,,,,,
Location: Latitude  40.8623   Longitude -73.8744 ,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 75.84 meters,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,
Parameter(s): ,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,
-END HEADER-,,,,,,
YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR
2018,12,31,19,5,97.5,1.92
2018,12,31,20,5.19,96.75,4.13
2018,12,31,21,5.37,96.81,5.26
2018,12,31,22,5.62,97.44,3.86
2018,12,31,23,5.92,98.69,1.6
2019,1,1,0,6.23,99.56,1.22
2019,1,1,1,6.35,99.31,0.55
2019,1,1,2,6.71,99.25,0.12
2019,1,1,3,7.02,99.69,0.13
2019,1,1,4,7.32,99.62,0.07
2019,1,1,5,7.93,98.75,0.02
2019,1,1,6,8.3,98.75,0.01
2019,1,1,7,8.42,97.06,0
2019,1,1,8,8.06,92.25,0
2019,1,1,9,7.32,86.31,0
2019,1,1,10,6.59,81.31,0
2019,1,1,11,5.74,76.19,0
2019,1,1,12,5.19,73.38,0
2019,1,1,13,4.88,72.56,0
2019,1,1,14,4.76,73.56,0
2019,1,1,15,4.64,76.94,0
2019,1,1,16,4.39,82.5,0
2019,1,1,17,4.21,85.19,0
2019,1,1,18,4.03,86.5,0
2019,1,1,19,3.91,87.94,0
2019,1,1,20,3.78,89,0
2019,1,1,21,3.66,90.31,0
2019,1,1,22,3.54,92.56,0
2019,1,1,23,3.42,95.75,0
2019,1,2,0,3.3,98.44,0
2019,1,2,1,3.23,99.19,0
2019,1,2,2,3.11,98.94,0
